Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
W067	7.0068	1	2.5573	10.96	0.65	13.69	0.06	3.64	NA	391329.5228	4284971.429	1602857.143	57.70025	17.3524	Winter	Mesohaline	Surface	normal
W068	7.0746	58	2.3642	10.25	0.78	15.52	0.06	3.64	0.27	318621.5276	4114000	1891371.429	57.70025	17.3524	Winter	Mesohaline	Hypolimneon	normal
W072	6.9053	1	2.2256	11.14	0.6	15.17	0.23	3.43	0.74	292389.1537	8516514.286	2115771.429	58.1513367	17.7366783	Winter	Mesohaline	Surface	normal
W073	7.0063	50	2.5672	10.88	0.58	14.48	0.18	3.05	0.02	303648.7114	2051657.143	1699028.571	58.1513367	17.7366783	Winter	Mesohaline	Hypolimneon	normal
W076	6.4503	1	1.7283	11.33	0.58	11.72	0.09	3.7	1.24	474219.0329	7522742.857	4894057.143	58.5837417	18.2334733	Winter	Mesohaline	Surface	normal
W077	6.9867	32	2.4709	10.94	0.62	35.42	0.09	3.53	0.23	316345.6595	3387371.429	2564571.429	58.5837417	18.2334733	Winter	Mesohaline	Hypolimneon	normal
W078	7.0636	50	2.9183	8.8	3.2	9.16	0.06	3.95	0	294784.8043	4915428.571	2115771.429	58.5837417	18.2334733	Winter	Mesohaline	Hypolimneon	normal
W084	7.0286	52	2.8189	10.82	0.62	13.89	0.05	3.87	0	303289.3638	3996457.143	2051657.143	58.8587317	19.0960067	Winter	Mesohaline	Hypolimneon	normal
W086	6.4413	1	1.9307	11.31	0.58	14.93	0.08	3.15	0.1	430618.1923	7009828.571	4231542.857	59.2847917	19.45913	Winter	Mesohaline	Surface	normal
W087	6.8431	39	2.7137	10.85	0.69	8.42	0.07	3.72	0.16	246033.3149	2222628.571	1143371.429	59.2847917	19.45913	Winter	Mesohaline	Hypolimneon	normal
W088	7.6167	61	4.2871	8.36	1.13	15.12	0.04	3.71	0	362342.1507	1773828.571	908285.7143	59.2847917	19.45913	Winter	Mesohaline	Hypolimneon	normal
W089	5.4231	1	0.152	12.08	0.35	20.1	0.06	3.04	0.08	815719.0236	12235142.86	9008057.143	60.1912533	19.11769	Winter	Mesohaline	Surface	normal
W090	6.439	50	3.5696	10.19	0.62	16.16	0.06	4.09	0.19	294425.4567	2019600	983085.7143	60.1912533	19.11769	Winter	Mesohaline	Hypolimneon	normal
W091	6.6433	100	3.9675	9.95	0.67	14.58	0.04	3.92	0	307960.8825	1431885.714	833485.7143	60.1912533	19.11769	Winter	Mesohaline	Hypolimneon	normal
